,Episode 1
0,-0.1567416314952348
1,-2.806299037787836
2,-5.762088651939914
3,-5.484623232642228
4,-9.589649990252235
5,-9.543282663320257
6,-9.855644633340205
7,-7.316475373921041
8,-1.1110703907162511
9,-6.940955125413033
10,-7.832694260222649
11,-2.4794421170191363
12,-3.1222987771082598
13,-0.7213132947574941
14,-3.734102666624527
15,-2.187482208070047
16,-1.6256895821993258
17,-7.818290409063296
18,-0.17829099834612244
19,-0.3769821298714045
20,-6.186483852017395
21,-0.4759940949991032
22,-2.064768005089006
23,-1.0686588799749115
24,-4.9932887031975035
25,-1.4261472366996328
26,-8.218450456225293
27,-8.062658062643761
28,-6.198369216005551
29,-0.3510649612019933
30,-0.6019514484908244
31,-6.818558455673205
32,-2.205835136634868
33,-2.2074909718578137
34,-1.1938251893928458
35,-0.9096483213470338
36,-1.4919923859776225
37,-8.216359146612056
38,-0.6100346562064324
39,-7.957466006042911
40,-0.5005024243808428
41,-0.8648598848376291
42,-4.295465553449702
43,-3.937213164592301
44,-5.977699080618804
45,-4.232312524606021
46,-9.324380226339976
47,-1.0211022700960684
48,-4.577230574018604
49,-0.013196261498539353
50,-0.5077130924639088
51,-3.430455176485424
52,-4.687464977042093
53,-5.691699116214026
54,-0.45963314027199836
55,-0.11219195058862858
56,-2.273011631913126
57,-9.61154038416014
58,-0.43125535425630573
59,-0.5321742187444999
60,-0.13607691092770338
61,-0.0036945754711856286
62,-1.1306980833560203
63,-2.6371409247552706
64,-1.7406030835480344
65,-0.6074129741509586
66,-2.18359050854903
67,-8.849364689625153
68,-0.8928977184279626
69,-1.6284431710446121
70,-8.688916427636478
71,-4.88647576217552
72,-5.941272872633895
73,-1.4946852361827303
74,-0.37159521323820127
75,-1.4173296293541329
76,-3.8624152134093466
77,-1.6183137814803787
78,-1.2103987323421188
79,-5.526395519420775
80,-0.1453902436756148
81,-0.027506101063083148
82,-3.7694950164227183
83,-7.812274896149071
84,-0.11647131522721663
85,-4.246268480085193
86,-1.5484277103177233
87,-3.6224910409297073
88,-0.2877480695506433
89,-3.5927538427461636
90,-5.4537068321668905
91,-8.082767775284786
92,-8.089686897265844
93,-5.642347542722482
94,-9.228934497238853
95,-0.38894676319866134
96,-6.150189193813322
97,-0.16373412143546562
98,-9.05503480292557
99,-0.11785357735600252
